"Step","../output/proxy_alpacmygavel.json_2.7B - train/loss","../output/proxy_alpacmygavel.json_2.7B - train/loss__MIN","../output/proxy_alpacmygavel.json_2.7B - train/loss__MAX"
"166","0.0255","0.0255","0.0255"
"167","0.0312","0.0312","0.0312"
"168","0.0282","0.0282","0.0282"
"169","0.0264","0.0264","0.0264"
"170","0.034","0.034","0.034"
"171","0.0301","0.0301","0.0301"
"172","0.034","0.034","0.034"
"173","0.0269","0.0269","0.0269"
"174","0.0324","0.0324","0.0324"
"175","0.0314","0.0314","0.0314"
"176","0.0286","0.0286","0.0286"
"177","0.0333","0.0333","0.0333"
"178","0.0328","0.0328","0.0328"
"179","0.0295","0.0295","0.0295"
"180","0.0301","0.0301","0.0301"
"181","0.0195","0.0195","0.0195"
"182","0.0175","0.0175","0.0175"
"183","0.022","0.022","0.022"
"184","0.0211","0.0211","0.0211"
"185","0.0199","0.0199","0.0199"
"186","0.0202","0.0202","0.0202"
"187","0.0244","0.0244","0.0244"
"188","0.0225","0.0225","0.0225"
"189","0.0253","0.0253","0.0253"
"190","0.0205","0.0205","0.0205"
"191","0.0235","0.0235","0.0235"
"192","0.0223","0.0223","0.0223"
"193","0.0224","0.0224","0.0224"
"194","0.0229","0.0229","0.0229"
"195","0.0246","0.0246","0.0246"
"196","0.0251","0.0251","0.0251"
"197","0.0258","0.0258","0.0258"
"198","0.0196","0.0196","0.0196"
"199","0.0129","0.0129","0.0129"
"200","0.0164","0.0164","0.0164"
"201","0.0164","0.0164","0.0164"
"202","0.0149","0.0149","0.0149"
"203","0.0155","0.0155","0.0155"
"204","0.0151","0.0151","0.0151"
"205","0.0182","0.0182","0.0182"
"206","0.0159","0.0159","0.0159"
"207","0.0163","0.0163","0.0163"
"208","0.0207","0.0207","0.0207"
"209","0.0187","0.0187","0.0187"
"210","0.0163","0.0163","0.0163"
"211","0.0165","0.0165","0.0165"
"212","0.0195","0.0195","0.0195"
"213","0.0171","0.0171","0.0171"
"214","0.019","0.019","0.019"
"215","0.0199","0.0199","0.0199"
"216","0.0163","0.0163","0.0163"
"217","0.0108","0.0108","0.0108"
"218","0.0139","0.0139","0.0139"
"219","0.013","0.013","0.013"
